paper_id,pdf_page,printed_page,section,notes
C008,1,,1 Introduction,Printed page not independently verified.
C008,2,,1 Introduction,Printed page not independently verified.
C008,3,,model,Printed page not independently verified.
C008,4,,3 Numerical methods,Printed page not independently verified.
C008,5,,"results. For a Mach 1.47 shock wave, this corresponds to a",Printed page not independently verified.
C008,6,,4 Results and discussion,Printed page not independently verified.
C008,7,,4 Results and discussion,Printed page not independently verified.
C008,8,,4 Results and discussion,Printed page not independently verified.
C008,9,,4 Results and discussion,Printed page not independently verified.
C008,10,,4 Results and discussion,Printed page not independently verified.
C008,11,,4 Results and discussion,Printed page not independently verified.
C008,12,,5 Conclusions,Printed page not independently verified.
C008,13,,Appendix A: Grid resolution,Printed page not independently verified.
C008,14,,Appendix A: Grid resolution,Printed page not independently verified.
C008,15,,References,Printed page not independently verified.
C008,16,,References,Printed page not independently verified.
