paper_id,pdf_page,printed_page,section,notes
B029,1,24028,Abstract and introduction,
B029,2,24029,Abstract and introduction,
B029,3,24030,Experimental and numerical methodology,
B029,4,24031,Experimental and numerical methodology,
B029,5,24032,Experimental and numerical methodology,
B029,6,24033,Experimental and numerical methodology,
B029,7,24034,Experimental and numerical methodology,
B029,8,24035,Dynamic jet results,
B029,9,24036,Dynamic jet results,
B029,10,24037,Dynamic jet results,
B029,11,24038,Dynamic jet results,
B029,12,24039,References,
B029,13,24040,References,
