paper_id,pdf_page,printed_page,section,notes
B002,1,,1. Introduction,Printed page not independently verified.
B002,2,,1. Introduction,Printed page not independently verified.
B002,3,,1. Introduction,Printed page not independently verified.
B002,4,,1. Introduction,Printed page not independently verified.
B002,5,,6. Results and discussion,Printed page not independently verified.
B002,6,,model. A direct comparison between each simulation and,Printed page not independently verified.
B002,7,,model. A direct comparison between each simulation and,Printed page not independently verified.
B002,8,,model. A direct comparison between each simulation and,Printed page not independently verified.
B002,9,,6.3. Discussion,Printed page not independently verified.
B002,10,,7. Conclusions,Printed page not independently verified.
B002,11,,references,Printed page not independently verified.
B002,12,,references,Printed page not independently verified.
