paper_id,pdf_page,printed_page,section,notes
B013,1,7120,Abstract and introduction,
B013,2,7121,Abstract and introduction,
B013,3,7122,Abstract and introduction,
B013,4,7123,Numerical method and boundary conditions,
B013,5,7124,Numerical method and boundary conditions,
B013,6,7125,Numerical method and boundary conditions,
B013,7,7126,Numerical method and boundary conditions,
B013,8,7127,Transient jet results,
B013,9,7128,Transient jet results,
B013,10,7129,Transient jet results,
B013,11,7130,Transient jet results,
B013,12,7131,Transient jet results,
B013,13,7132,Transient jet results,
B013,14,7133,Conclusions,
B013,15,7134,References,
