paper_id,pdf_page,printed_page,section,notes
C031,1,,Front matter and introduction,
C031,2,033358-1,Front matter and introduction,
C031,3,033358-2,Front matter and introduction,
C031,4,033358-3,Numerical methodology,
C031,5,033358-4,Numerical methodology,
C031,6,033358-5,Numerical methodology,
C031,7,033358-6,Physical model and validation,
C031,8,033358-7,Physical model and validation,
C031,9,033358-8,Results: phase change,
C031,10,033358-9,Results: phase change,
C031,11,033358-10,Results: phase change,
C031,12,033358-11,Results: phase change,
C031,13,033358-12,Results: phase change,
C031,14,033358-13,Results: phase change,
C031,15,033358-14,Results: phase change,
C031,16,033358-15,Results: phase change,
C031,17,033358-16,Results: phase change,
C031,18,033358-17,Results: Mach number,
C031,19,033358-18,Results: Mach number,
C031,20,033358-19,Conclusions,
C031,21,033358-20,References,
